기간,자치구,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야
2016.01,합계,"4,151,770","1,180,825","2,300,588","162,880","438,094","1,546","34,470","33,366"
2016.01,종로구,"159,629","23,136","115,807","9,108","6,290",3,"1,121","4,165"
2016.01,중구,"221,014","17,044","173,594","5,082","22,752",-,"1,573",968
2016.01,용산구,"123,272","35,366","71,582","5,001","9,018",0,"1,461",845
2016.01,성동구,"169,372","35,563","76,009","7,204","48,693",0,"1,256",648
2016.01,광진구,"144,129","40,845","59,151","7,790","34,134",19,"1,095","1,096"
2016.01,동대문구,"130,374","43,789","60,971","8,328","15,002",2,"1,162","1,120"
2016.01,중랑구,"100,294","45,299","43,168","2,755","7,055",23,"1,160",834
2016.01,성북구,"132,113","53,281","50,057","15,559","8,672",7,"1,495","3,043"
2016.01,강북구,"83,326","35,932","38,677","2,470","4,325",9,646,"1,269"
2016.01,도봉구,"82,043","38,499","32,479","3,177","6,201",24,790,873
2016.01,노원구,"138,369","61,095","56,268","11,631","6,595",10,"1,539","1,231"
2016.01,은평구,"119,180","54,033","44,915","3,593","14,115",11,"1,139","1,375"
2016.01,서대문구,"110,708","37,341","51,866","16,661","2,948",6,957,929
2016.01,마포구,"181,584","49,916","110,366","5,874","12,120",11,"1,677","1,619"
2016.01,양천구,"136,487","55,170","71,651","3,263","4,291",10,"1,443",659
2016.01,강서구,"186,188","65,627","90,933","4,010","22,595",348,"1,681",993
2016.01,구로구,"177,448","50,984","84,072","3,305","36,850",21,"1,235",980
2016.01,금천구,"149,176","26,071","91,193","1,428","29,254",30,721,479
2016.01,영등포구,"232,102","50,753","153,677","2,383","21,547",7,"2,025","1,710"
2016.01,동작구,"112,439","44,281","53,273","7,814","4,811",5,"1,121","1,136"
2016.01,관악구,"150,176","56,550","67,757","18,884","4,294",11,903,"1,777"
2016.01,서초구,"311,922","57,416","192,856","4,773","52,893",312,"2,458","1,216"
2016.01,강남구,"433,535","77,780","313,405","4,470","33,159",139,"2,576","2,006"
2016.01,송파구,"230,421","75,827","130,033","5,295","15,623",199,"1,967","1,476"
2016.01,강동구,"136,466","49,229","66,829","3,021","14,857",340,"1,269",921
2016.02,합계,"4,174,917","1,197,876","2,301,067","167,618","438,642","1,704","32,714","35,297"
2016.02,종로구,"159,209","23,330","114,135","9,409","6,774",4,"1,061","4,497"
2016.02,중구,"214,756","17,222","166,513","4,761","23,708",-,"1,527","1,027"
2016.02,용산구,"125,496","35,938","72,774","5,270","9,253",0,"1,390",872
2016.02,성동구,"168,846","36,669","72,077","6,836","51,351",0,"1,180",733
2016.02,광진구,"144,635","41,285","59,648","7,251","34,234",22,"1,007","1,187"
2016.02,동대문구,"133,963","44,752","63,455","8,136","15,322",1,"1,098","1,198"
2016.02,중랑구,"103,502","46,416","44,544","3,028","7,482",27,"1,119",885
2016.02,성북구,"135,604","54,484","52,157","15,292","9,000",16,"1,414","3,243"
2016.02,강북구,"86,309","36,797","40,209","2,659","4,650",11,607,"1,376"
2016.02,도봉구,"84,392","39,083","33,783","3,551","6,233",28,742,971
2016.02,노원구,"140,727","61,744","57,847","11,789","6,476",11,"1,481","1,377"
2016.02,은평구,"123,409","55,267","47,086","4,055","14,424",10,"1,060","1,508"
2016.02,서대문구,"109,567","37,627","51,815","15,215","3,001",6,905,998
2016.02,마포구,"179,760","50,634","108,842","5,624","11,513",11,"1,578","1,559"
2016.02,양천구,"140,592","55,701","74,823","3,346","4,762",14,"1,396",550
2016.02,강서구,"190,385","67,023","93,578","4,446","22,337",347,"1,603","1,050"
2016.02,구로구,"176,197","51,613","80,768","3,598","37,945",23,"1,194","1,057"
2016.02,금천구,"143,371","26,393","85,122","1,733","28,911",35,689,488
2016.02,영등포구,"229,195","50,814","149,693","2,866","22,071",7,"1,941","1,803"
2016.02,동작구,"113,323","45,314","53,557","7,633","4,671",7,"1,035","1,107"
2016.02,관악구,"156,260","57,962","69,695","21,442","4,405",11,870,"1,874"
2016.02,서초구,"316,806","59,776","195,564","5,198","52,247",350,"2,357","1,313"
2016.02,강남구,"428,905","75,441","315,337","5,033","28,377",150,"2,435","2,132"
2016.02,송파구,"231,494","76,698","129,986","5,971","15,232",236,"1,854","1,518"
2016.02,강동구,"138,215","49,892","68,059","3,477","14,264",376,"1,172",974
2016.03,합계,"3,729,909","1,070,582","2,024,712","146,616","426,965","1,503","29,974","29,557"
2016.03,종로구,"142,049","20,694","101,740","8,164","6,827",3,954,"3,667"
2016.03,중구,"198,408","15,278","154,677","4,204","21,848",-,"1,424",977
2016.03,용산구,"109,418","31,621","62,613","4,566","8,637",0,"1,260",721
2016.03,성동구,"156,037","32,538","54,964","6,465","60,432",0,"1,085",552
2016.03,광진구,"127,063","36,668","50,973","6,792","30,707",19,932,973
2016.03,동대문구,"117,191","39,820","54,324","7,418","13,634",1,"1,005",989
2016.03,중랑구,"90,270","41,192","38,212","2,478","6,606",23,"1,028",732
2016.03,성북구,"119,578","48,369","44,773","13,740","8,730",12,"1,317","2,637"
2016.03,강북구,"74,744","32,632","33,948","2,200","4,269",9,563,"1,123"
2016.03,도봉구,"73,452","34,670","28,594","2,915","5,813",27,671,762
2016.03,노원구,"123,466","55,325","49,223","10,219","6,207",10,"1,390","1,092"
2016.03,은평구,"108,326","49,406","39,800","3,216","13,722",10,992,"1,180"
2016.03,서대문구,"98,901","33,773","45,816","14,801","2,851",5,835,819
2016.03,마포구,"163,517","44,733","98,954","5,294","11,691",11,"1,423","1,411"
2016.03,양천구,"126,005","50,406","66,947","2,717","4,199",10,"1,252",473
2016.03,강서구,"168,635","59,977","80,313","3,478","22,227",386,"1,442",812
