기간,자치구,합계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용
기간,자치구,합계,가정용,공공용,소계,전철,수도,사업자용,순수서비스,소계,농림어업,광업,제조업
2016.01,합계,"4,151,770","1,154,601","343,871","2,484,179","126,745","52,717","7,756","2,296,961","169,120","1,425",336,"167,359"
2016.01,종로구,"159,629","21,892","21,872","110,041",-,236,154,"109,651","5,825",8,57,"5,760"
2016.01,중구,"221,014","16,486","11,379","172,481",-,24,833,"171,624","20,669",2,20,"20,647"
2016.01,용산구,"123,272","34,436","29,277","57,510",457,533,59,"56,460","2,049",1,5,"2,044"
2016.01,성동구,"169,372","34,248","39,482","66,841",467,"2,802",340,"63,233","28,801",2,49,"28,750"
2016.01,광진구,"144,129","39,704","9,581","91,420","26,957","3,497",169,"60,797","3,425",27,5,"3,393"
2016.01,동대문구,"130,374","42,326","12,306","68,551","4,798",728,154,"62,872","7,191",24,11,"7,157"
2016.01,중랑구,"100,294","44,343","3,926","46,329",200,463,173,"45,492","5,697",35,6,"5,656"
2016.01,성북구,"132,113","52,041","20,077","55,711",-,"1,486",74,"54,151","4,284",25,1,"4,258"
2016.01,강북구,"83,326","34,979","4,317","40,640",12,622,81,"39,925","3,391",12,-,"3,380"
2016.01,도봉구,"82,043","37,506","5,116","34,337",-,544,110,"33,684","5,084",31,-,"5,053"
2016.01,노원구,"138,369","60,567","16,405","58,118",-,"1,258",386,"56,474","3,280",12,-,"3,268"
2016.01,은평구,"119,180","52,648","7,386","57,689","9,533",745,172,"47,239","1,457",13,2,"1,442"
2016.01,서대문구,"110,708","36,370","25,745","47,028",-,985,13,"46,030","1,565",7,0,"1,558"
2016.01,마포구,"181,584","48,460","12,992","117,567",938,823,669,"115,137","2,565",12,1,"2,553"
2016.01,양천구,"136,487","54,359","5,972","73,867",-,800,182,"72,885","2,289",17,18,"2,254"
2016.01,강서구,"186,188","65,615","18,736","96,029","2,710",431,159,"92,729","5,807",178,88,"5,542"
2016.01,구로구,"177,448","49,729","5,492","110,320","23,602",789,243,"85,685","11,907",24,57,"11,826"
2016.01,금천구,"149,176","24,874","2,442","93,624",-,306,158,"93,160","28,237",24,2,"28,211"
2016.01,영등포구,"232,102","49,543","14,521","155,990","1,476","7,273",608,"146,633","12,047",13,7,"12,028"
2016.01,동작구,"112,439","43,007","11,832","56,323",558,"2,186",105,"53,475","1,277",8,-,"1,269"
2016.01,관악구,"150,176","55,611","22,557","69,116",-,929,104,"68,084","2,891",15,-,"2,877"
2016.01,서초구,"311,922","56,600","17,525","236,525","48,059","2,410",843,"185,213","1,272",332,6,934
2016.01,강남구,"433,535","76,886","10,729","344,276","3,039","5,273","1,508","334,456","1,643",146,-,"1,498"
2016.01,송파구,"230,421","74,487","8,465","144,118","3,939","6,148",287,"133,743","3,352",111,-,"3,241"
2016.01,강동구,"136,466","47,885","5,738","79,730",-,"11,427",172,"68,131","3,113",350,1,"2,762"
2016.02,합계,"4,174,917","1,171,007","348,311","2,481,221","128,122","50,372","7,673","2,295,053","174,379","1,612",332,"172,434"
2016.02,종로구,"159,209","22,013","22,105","108,787",-,247,171,"108,370","6,303",8,51,"6,244"
2016.02,중구,"214,756","16,561","11,051","165,525",-,27,823,"164,675","21,619",4,23,"21,592"
2016.02,용산구,"125,496","34,988","30,312","57,999",419,530,60,"56,990","2,197",1,4,"2,192"
2016.02,성동구,"168,846","35,305","37,822","67,052",387,"2,624",375,"63,666","28,667",2,48,"28,617"
2016.02,광진구,"144,635","40,101","9,294","91,494","27,004","3,209",198,"61,083","3,746",30,4,"3,713"
2016.02,동대문구,"133,963","43,260","11,958","71,009","4,767",746,163,"65,333","7,736",23,11,"7,701"
2016.02,중랑구,"103,502","45,417","4,274","47,657",178,473,170,"46,837","6,154",41,6,"6,108"
2016.02,성북구,"135,604","53,196","19,675","57,971",-,"1,632",74,"56,266","4,761",35,2,"4,725"
2016.02,강북구,"86,309","35,791","4,497","42,336",25,639,72,"41,600","3,686",14,-,"3,672"
2016.02,도봉구,"84,392","38,081","5,487","35,702",-,547,114,"35,041","5,123",40,-,"5,083"
2016.02,노원구,"140,727","61,203","16,344","59,781",-,"1,270",425,"58,085","3,399",14,-,"3,385"
2016.02,은평구,"123,409","53,827","7,788","60,215","9,935",760,178,"49,343","1,579",12,3,"1,564"
2016.02,서대문구,"109,567","36,638","23,833","47,485",-,"1,019",14,"46,453","1,611",7,1,"1,603"
2016.02,마포구,"179,760","49,084","12,436","115,515",923,870,676,"113,047","2,725",12,1,"2,713"
2016.02,양천구,"140,592","54,861","6,232","76,854",-,781,190,"75,883","2,645",20,19,"2,605"
2016.02,강서구,"190,385","67,011","18,772","98,857","2,801",440,161,"95,455","5,745",190,84,"5,472"
2016.02,구로구,"176,197","50,346","6,012","108,294","25,060",792,233,"82,209","11,545",25,59,"11,461"
2016.02,금천구,"143,371","25,338","2,816","87,231",-,307,138,"86,786","27,987",29,2,"27,956"
2016.02,영등포구,"229,195","49,580","15,396","151,247","1,518","6,780",597,"142,351","12,972",13,7,"12,952"
2016.02,동작구,"113,323","44,008","11,914","56,068",521,"2,033",102,"53,412","1,333",10,-,"1,324"
2016.02,관악구,"156,260","56,996","25,122","71,130",-,911,107,"70,112","3,012",15,-,"2,997"
2016.02,서초구,"316,806","58,943","18,165","238,317","47,562","2,292",779,"187,684","1,382",373,7,"1,002"
2016.02,강남구,"428,905","74,561","11,454","341,149","2,979","5,029","1,400","331,740","1,741",158,-,"1,583"
