연도,시도,시군구,계약종별, 1월(kWh) , 2월(kWh) , 3월(kWh) , 4월(kWh) , 5월(kWh) , 6월(kWh) 
2020,서울특별시,종로구,주택용,23282355,22805944,21157407,20528809,19532519,21593865
2020,서울특별시,종로구,일반용,114495623,105338838,94326383,83914212,83334611,98931540
2020,서울특별시,종로구,교육용,9559773,8855042,6872377,5909347,5559426,7043982
2020,서울특별시,종로구,산업용,6335667,6493638,6251995,5800648,5255774,6095093
2020,서울특별시,종로구,농사용,4382,3711,3240,2617,1477,933
2020,서울특별시,종로구,가로등,918968,861967,785341,745750,711923,783509
2020,서울특별시,종로구,심 야,2962411,2818563,2347829,2003775,3390515,5531510
2020,서울특별시,중구,주택용,17926495,17473124,16369475,15955398,15140205,16736946
2020,서울특별시,중구,일반용,164380237,153868457,137112796,121161976,123412464,147767485
2020,서울특별시,중구,교육용,5010288,4450342,3247614,2486954,2296145,3060096
2020,서울특별시,중구,산업용,21194227,20119606,19132428,17275107,15184452,17847513
2020,서울특별시,중구,가로등,1071213,1039001,971199,929805,886000,898575
2020,서울특별시,중구,심 야,643132,645085,663234,673662,3457382,7568403
2020,서울특별시,용산구,주택용,35791699,35281456,32615953,32378635,30608706,34063884
2020,서울특별시,용산구,일반용,70170184,66379427,57501475,50621757,49595275,59227688
2020,서울특별시,용산구,교육용,5220090,4846883,3789828,3174030,2970814,3606648
2020,서울특별시,용산구,산업용,8988116,8747627,8348753,8099446,7806340,8466999
2020,서울특별시,용산구,가로등,1280201,1178342,1069046,1014169,929382,878631
2020,서울특별시,용산구,심 야,782097,745450,617353,580566,729394,1648247
2020,서울특별시,성동구,주택용,38402697,38324275,35735314,35817073,33457285,35627823
2020,서울특별시,성동구,일반용,67153157,63841430,57186725,50963889,49146118,57192315
2020,서울특별시,성동구,교육용,7272121,6682789,5719110,4780937,4744248,5912235
2020,서울특별시,성동구,산업용,78763573,75271426,71908589,70100650,67162649,71254030
2020,서울특별시,성동구,농사용,5001,4669,4525,5310,5307,2300
2020,서울특별시,성동구,가로등,1063996,1051057,962614,897590,847948,776016
2020,서울특별시,성동구,심 야,462297,448172,342368,220153,196794,224487
2020,서울특별시,동대문구,주택용,44422964,43941652,41198259,41243800,38685983,41256909
2020,서울특별시,동대문구,일반용,58228358,56079138,49028330,43931060,41587246,47897338
2020,서울특별시,동대문구,교육용,8702600,8046763,6406774,5206400,4772975,5718815
2020,서울특별시,동대문구,산업용,15205427,14678823,13622395,12822830,11979755,13339120
2020,서울특별시,동대문구,농사용,12454,11876,10072,9027,6462,5541
2020,서울특별시,동대문구,가로등,1022115,955307,889968,791479,729523,672408
2020,서울특별시,동대문구,심 야,637287,600744,482772,356583,391848,527478
2020,서울특별시,성북구,주택용,53291640,52987775,49633389,50087577,46921728,49226612
2020,서울특별시,성북구,일반용,49274828,47163812,41299626,36744321,34194241,40574491
2020,서울특별시,성북구,교육용,16077942,14963115,12077301,10282902,9474829,12492831
2020,서울특별시,성북구,산업용,8628121,8602032,8252332,7699771,7656124,8811238
2020,서울특별시,성북구,농사용,3298,3529,3060,3435,3698,4293
2020,서울특별시,성북구,가로등,1309441,1210273,1117021,1042480,954036,890620
2020,서울특별시,성북구,심 야,2203115,2120531,1733437,1306047,960826,958955
2020,서울특별시,도봉구,주택용,37852726,37668860,35045095,35339296,33008709,34560575
2020,서울특별시,도봉구,일반용,32561481,30934007,26852116,24212561,23205016,26603974
2020,서울특별시,도봉구,교육용,3762536,3357960,2477393,1867916,1497050,1562726
2020,서울특별시,도봉구,산업용,5116772,4898335,4638782,4406470,3920960,4425098
2020,서울특별시,도봉구,농사용,25121,27390,25564,26497,24967,21172
2020,서울특별시,도봉구,가로등,590981,546931,498783,462858,417028,390269
2020,서울특별시,도봉구,심 야,598634,591893,478081,352797,267035,301334
2020,서울특별시,은평구,주택용,55905306,55574086,51960982,52517377,49438839,51706678
2020,서울특별시,은평구,일반용,50293919,48766549,41761242,37941889,36619189,41428724
2020,서울특별시,은평구,교육용,4016826,3790977,2584014,2029461,1629822,1959244
2020,서울특별시,은평구,산업용,16508595,15825330,14759958,14669102,14012056,15002968
2020,서울특별시,은평구,농사용,17760,21128,21050,19671,19447,18603
2020,서울특별시,은평구,가로등,857479,785325,717618,654120,591969,552752
2020,서울특별시,은평구,심 야,1096319,1090933,874906,669428,671249,557863
2020,서울특별시,서대문구,주택용,38758060,38191632,36170985,35744422,34087683,36683222
2020,서울특별시,서대문구,일반용,51402038,49834268,43530460,39194956,38987868,45435553
2020,서울특별시,서대문구,교육용,16510965,14814229,12835654,10966775,10912232,13568876
2020,서울특별시,서대문구,산업용,2867145,2790876,2725753,2658892,2562735,2779250
2020,서울특별시,서대문구,농사용,1540,1398,1441,1321,2749,2289
2020,서울특별시,서대문구,가로등,829180,763235,689693,627323,565289,521774
2020,서울특별시,서대문구,심 야,704417,663229,544516,391857,557874,640575
2020,서울특별시,마포구,주택용,50342132,49979207,46827539,46284383,43592745,48012154
2020,서울특별시,마포구,일반용,117904090,111746989,99685606,89825514,88472189,99786858
2020,서울특별시,마포구,교육용,5919160,5430855,4250171,3445271,3063840,3912936
2020,서울특별시,마포구,산업용,14097522,11534254,12123851,11422601,14444932,17954666
2020,서울특별시,마포구,농사용,9106,8983,7528,7058,6372,7221
2020,서울특별시,마포구,가로등,1359583,1261283,1134111,1061854,977498,902045
2020,서울특별시,마포구,심 야,1137521,1192996,740564,923518,1020575,1745840
2020,서울특별시,강서구,주택용,69090494,68869757,65045861,65604559,61683718,64671155
2020,서울특별시,강서구,일반용,124662312,118844421,106552865,94886879,90463562,110034124
2020,서울특별시,강서구,교육용,5365300,4694411,3467332,2766028,2338230,2907066
2020,서울특별시,강서구,산업용,28627267,27569577,27363935,25163538,24754938,25297271
2020,서울특별시,강서구,농사용,396861,383534,414015,414042,476096,527110
2020,서울특별시,강서구,가로등,1675384,1586838,1437635,1387834,1247250,1160926
2020,서울특별시,강서구,심 야,953760,918038,848151,955425,1595585,1903885
2020,서울특별시,구로구,주택용,51605818,51394998,48278039,48240375,45464257,47761919
2020,서울특별시,구로구,일반용,77602744,74345604,62302503,55617665,53732422,63291344
2020,서울특별시,구로구,교육용,3673887,3503801,2376629,1892212,1555439,1922336
2020,서울특별시,구로구,산업용,34105978,33268890,29021627,27767568,25847051,27574618
2020,서울특별시,구로구,농사용,25345,28382,27100,25605,22355,23191
2020,서울특별시,구로구,가로등,1085751,1037628,971184,904268,866822,804828
2020,서울특별시,구로구,심 야,663046,624662,522830,443792,523657,1145068
2020,서울특별시,영등포구,주택용,51756022,50919399,48481786,47818274,45465019,49112339
2020,서울특별시,영등포구,일반용,152192026,143590881,131435493,118963352,119704685,140603785
2020,서울특별시,영등포구,교육용,2940782,2546723,1912525,1485005,1249499,1306272
2020,서울특별시,영등포구,산업용,20145605,19532513,19461717,18524033,17493513,18764268
2020,서울특별시,영등포구,농사용,4598,4238,3055,2789,2191,2088
2020,서울특별시,영등포구,가로등,1673955,1630643,1493575,1386433,1267587,1166775
2020,서울특별시,영등포구,심 야,1490211,1588330,1680063,1674272,3686291,8727238
2020,서울특별시,동작구,주택용,45588996,45415359,42525951,42671037,40496250,43440389
2020,서울특별시,동작구,일반용,53504883,50947286,44903009,41665558,40596215,47035537
2020,서울특별시,동작구,교육용,8362236,7305367,5749744,4623326,4141518,5211186
2020,서울특별시,동작구,산업용,4384591,4166718,4169776,4225882,4423045,4648930
2020,서울특별시,동작구,농사용,22083,22593,20382,21671,22401,24740
2020,서울특별시,동작구,가로등,879041,827730,768299,703883,658195,596374
2020,서울특별시,동작구,심 야,804799,756012,577313,488746,482468,680706
2020,서울특별시,관악구,주택용,56906138,56915883,53193275,53952675,50229765,53421143
2020,서울특별시,관악구,일반용,69819164,66879645,59244545,55344140,53531161,60599391
2020,서울특별시,관악구,교육용,20671383,20356577,17059265,15096048,12823551,14079556
2020,서울특별시,관악구,산업용,3520606,3437564,3264581,3051278,2678350,2922743
2020,서울특별시,관악구,농사용,15488,16302,13779,12814,8983,7084
2020,서울특별시,관악구,가로등,1054555,977341,929427,886739,838299,818769
2020,서울특별시,관악구,심 야,1062574,1022240,834128,659720,461946,373124
2020,서울특별시,강남구,주택용,76467571,74922439,72233737,70733888,68215238,75929207
2020,서울특별시,강남구,일반용,307295633,291059974,258710991,226703195,218979859,259580441
2020,서울특별시,강남구,교육용,4983858,4604779,3176851,2522639,2103716,2617779
2020,서울특별시,강남구,산업용,25297769,23461253,21407916,19136322,17709841,17351038
2020,서울특별시,강남구,농사용,99651,90134,78306,66325,56536,54704
2020,서울특별시,강남구,가로등,2268518,2145892,1937937,1853700,1670938,1581497
2020,서울특별시,강남구,심 야,1534540,1480851,1326520,1426739,3300146,6738830
2020,서울특별시,강동구,주택용,51471020,51262316,48221063,48747484,46335412,50341887
2020,서울특별시,강동구,일반용,67828073,64558222,56394690,50402223,48917165,57408458
2020,서울특별시,강동구,교육용,3690838,3268258,2267936,1766731,1462255,1772024
2020,서울특별시,강동구,산업용,14174685,13585018,13774116,13428705,13627711,14318428
2020,서울특별시,강동구,농사용,171957,172857,138525,132019,108358,95291
2020,서울특별시,강동구,가로등,991617,912054,820938,778484,683738,633092
2020,서울특별시,강동구,심 야,489445,470170,382068,252065,498325,536800
2020,서울특별시,송파구,주택용,80401390,80260317,75245303,76317450,71773870,77109682
2020,서울특별시,송파구,일반용,137289421,130238923,117286679,106469105,108421965,126236125
2020,서울특별시,송파구,교육용,6438245,5690950,4259548,3037907,2452323,2902956
2020,서울특별시,송파구,산업용,17762903,17040594,16746976,16681332,16867565,17728085
2020,서울특별시,송파구,농사용,275923,255067,210996,197948,199962,218705
2020,서울특별시,송파구,가로등,1829311,1722191,1530566,1461662,1302520,1235791
2020,서울특별시,송파구,심 야,1303428,1153373,671593,811262,2608520,3884235
2020,서울특별시,중랑구,주택용,45262535,45098176,42373538,42296599,39864693,42184727
2020,서울특별시,중랑구,일반용,43586203,41628966,36296130,32689423,31362426,35759149
2020,서울특별시,중랑구,교육용,3321433,2915695,2134274,1596818,1331206,1401967
2020,서울특별시,중랑구,산업용,6597534,6437097,6005442,5367434,4642674,5195845
2020,서울특별시,중랑구,농사용,36453,35301,25809,23946,24050,23728
2020,서울특별시,중랑구,가로등,1067114,1010650,947487,859720,818628,761621
2020,서울특별시,중랑구,심 야,492303,480251,409514,330161,277785,492966
2020,서울특별시,노원구,주택용,59337662,58887916,55005786,55660599,51930868,54898681
2020,서울특별시,노원구,일반용,57197963,54292575,46579710,41898794,41354561,48129796
2020,서울특별시,노원구,교육용,12285858,11134089,8878786,6883482,5987627,6809676
2020,서울특별시,노원구,산업용,6268472,6088481,5900380,5372984,5233882,5825318
2020,서울특별시,노원구,농사용,30455,32268,30020,30729,29820,28887
2020,서울특별시,노원구,가로등,1306698,1258092,1207409,1143591,1069864,996600
2020,서울특별시,노원구,심 야,957942,915669,718089,507558,397050,591047
2020,서울특별시,서초구,주택용,58262903,58127229,55532892,55117714,52469196,57377466
2020,서울특별시,서초구,일반용,182490809,175296154,156280413,141097675,135899645,157659221
2020,서울특별시,서초구,교육용,5547243,5053250,3817395,3050119,2558454,2936069
2020,서울특별시,서초구,산업용,39142365,38064460,34435649,34050457,32795668,35838400
2020,서울특별시,서초구,농사용,451916,450896,395037,374873,294014,257941
2020,서울특별시,서초구,가로등,2389115,2278466,2068936,2039144,1851682,1782536
2020,서울특별시,서초구,심 야,858467,855702,716452,678660,1551491,3280390
2020,서울특별시,양천구,주택용,54809863,54592736,51486419,51812487,48825072,51500361
2020,서울특별시,양천구,일반용,83813149,80753706,77116548,71998113,71277728,74681093
2020,서울특별시,양천구,교육용,3894936,3174333,2618760,1797422,1547837,1529580
2020,서울특별시,양천구,산업용,3844785,4077253,3608342,3557856,2839513,3128891
2020,서울특별시,양천구,농사용,5558,5255,5503,5952,5690,4672
2020,서울특별시,양천구,가로등,1253724,1197461,1087181,1049096,932694,866330
2020,서울특별시,양천구,심 야,378547,370682,330823,285784,640817,930426
2020,서울특별시,광진구,주택용,40971294,40093074,38585388,38201904,35773725,39093497
2020,서울특별시,광진구,일반용,57533753,54141072,46685125,42150570,41983330,49457946
2020,서울특별시,광진구,교육용,7714213,7098721,5706195,4729344,4701029,6283322
2020,서울특별시,광진구,산업용,33700021,33445335,30428276,28560004,27759846,30367984
2020,서울특별시,광진구,농사용,27614,32582,29554,27918,26593,22437
2020,서울특별시,광진구,가로등,972150,934576,875277,804740,753070,695392
2020,서울특별시,광진구,심 야,885257,868186,722786,612062,1128725,2457538
2020,서울특별시,강북구,주택용,35756406,35739152,33026332,33444602,31204364,32649996
2020,서울특별시,강북구,일반용,39014010,37221979,32262099,29129240,27819287,31597539
2020,서울특별시,강북구,교육용,2819660,2537576,1934889,1474888,1279217,1419568
2020,서울특별시,강북구,산업용,4728008,4671155,4428064,4150568,3822534,4216732
2020,서울특별시,강북구,농사용,6204,6431,7473,7165,5782,5069
2020,서울특별시,강북구,가로등,598320,551739,519042,476306,439179,394672
2020,서울특별시,강북구,심 야,873211,832712,692191,544143,375619,250344
2020,서울특별시,금천구,주택용,28180339,28073409,26268308,26269069,24720169,26055189
2020,서울특별시,금천구,일반용,90744532,86399190,78403566,70406232,70171305,81467768
2020,서울특별시,금천구,교육용,1851263,1716023,1111622,860934,677026,805693
2020,서울특별시,금천구,산업용,23082874,22143303,20852211,19117132,17109612,19864883
2020,서울특별시,금천구,농사용,28889,26922,18463,15982,13358,12014
2020,서울특별시,금천구,가로등,767721,752937,704534,659841,640775,609711
2020,서울특별시,금천구,심 야,272507,272986,234396,197203,231361,688593
2020,부산광역시,중구,주택용,5395881,5464873,5047469,5064422,4643697,4667588
2020,부산광역시,중구,일반용,26250566,25413545,21603371,20174522,19821016,22401460
2020,부산광역시,중구,교육용,312316,297480,236803,175989,170879,184166
2020,부산광역시,중구,산업용,736410,701256,616394,570794,502689,520027
2020,부산광역시,중구,농사용,5662,6650,4560,4879,4554,4802
2020,부산광역시,중구,가로등,415920,401746,377563,351542,346963,323431
2020,부산광역시,중구,심 야,902056,922561,729703,567911,412175,236306
2020,부산광역시,서구,주택용,13646228,13857045,12843181,12963973,11958063,11861203
2020,부산광역시,서구,일반용,20903807,20043748,18074506,17014101,16628137,18772519
2020,부산광역시,서구,교육용,1542113,1373794,1133431,954029,849196,1066514
2020,부산광역시,서구,산업용,13720833,12085410,12095174,11007633,11601770,13093522
2020,부산광역시,서구,농사용,164827,185229,195500,172858,185057,248577
2020,부산광역시,서구,가로등,562468,546164,511445,464085,450855,414759
2020,부산광역시,서구,심 야,1806286,1819366,1543057,1267449,954147,659928
2020,부산광역시,동구,주택용,11435099,11550866,10765067,10918159,10075268,10153786
2020,부산광역시,동구,일반용,26216484,25339925,22508327,20674443,19892779,22740154
2020,부산광역시,동구,교육용,645334,593915,431265,376030,348621,430794
2020,부산광역시,동구,산업용,6621147,6521053,6114001,6235242,5833068,6113305
2020,부산광역시,동구,농사용,3510,3244,3155,2295,2120,2626
2020,부산광역시,동구,가로등,530324,520668,478268,431814,416312,371184
2020,부산광역시,동구,심 야,1805489,1835732,1527326,1259403,903523,579106
2020,부산광역시,영도구,주택용,14081221,14291520,13147729,13385109,12303964,12143270
2020,부산광역시,영도구,일반용,14089019,13699679,11844289,11434074,10752897,11860792
2020,부산광역시,영도구,교육용,3078041,2934428,2337223,2163366,1956840,2048707
2020,부산광역시,영도구,산업용,8690735,8865126,8403982,7867290,6935883,8011933
2020,부산광역시,영도구,농사용,1682,2034,2090,2163,2577,3377
2020,부산광역시,영도구,가로등,483251,472149,438885,390530,369845,333561
2020,부산광역시,영도구,심 야,1597215,1613969,1332234,1130095,850957,541437
2020,부산광역시,부산진구,주택용,47092160,47424879,44409063,44977362,41748453,42828827
2020,부산광역시,부산진구,일반용,73299741,70311761,60013171,56454871,56370256,64991544
2020,부산광역시,부산진구,교육용,5331000,4401805,3898768,3148142,2870489,3491205
2020,부산광역시,부산진구,산업용,22164174,21003005,20917040,19829192,19779425,21043916
2020,부산광역시,부산진구,농사용,60822,61939,54551,52632,52458,53428
2020,부산광역시,부산진구,가로등,1464990,1400542,1327209,1241409,1178525,1099950
2020,부산광역시,부산진구,심 야,3512295,3507192,2848183,2276887,1663547,1240429
2020,부산광역시,동래구,주택용,33501426,33979351,31727853,32327913,29999643,30381972
2020,부산광역시,동래구,일반용,37737838,36350744,30591944,29167470,28860727,33320085
2020,부산광역시,동래구,교육용,1529373,1561766,1076365,924511,792888,1209969
2020,부산광역시,동래구,산업용,8175398,7777377,7759892,7630052,7762020,8101454
2020,부산광역시,동래구,농사용,23340,21991,17304,20994,18319,17827
2020,부산광역시,동래구,가로등,852824,856749,762062,673064,644309,596643
2020,부산광역시,동래구,심 야,2757779,2749678,2160917,1699947,1033474,519578
2020,부산광역시,남구,주택용,35391464,35574987,33224656,33955372,31597149,31929174
2020,부산광역시,남구,일반용,35864136,34754637,30644225,29399307,28753121,32578348
2020,부산광역시,남구,교육용,6249355,6056975,4805802,4174331,3607598,4472282
2020,부산광역시,남구,산업용,42302790,41705825,44216245,41345330,42615304,40374315
2020,부산광역시,남구,농사용,116433,114973,104893,106150,110326,112257
2020,부산광역시,남구,가로등,1093134,1056722,977568,919783,878369,828747
2020,부산광역시,남구,심 야,1490510,1500832,1278448,1107587,907381,1121069
2020,부산광역시,북구,주택용,34705545,34864733,32500430,33297641,30772486,31361889
2020,부산광역시,북구,일반용,31001937,30129727,25122143,24052958,23042524,26474343
2020,부산광역시,북구,교육용,1994915,2104174,1367117,1243807,1058460,1548420
2020,부산광역시,북구,산업용,9223489,8939107,8475837,8520006,8508151,9300368
2020,부산광역시,북구,농사용,38584,38905,35390,32437,31536,34005
2020,부산광역시,북구,가로등,909495,890355,825830,779235,756313,682846
2020,부산광역시,북구,심 야,1814763,1784132,1413192,1137546,729836,488569
2020,부산광역시,해운대구,주택용,56468308,57265264,53495087,54957089,51563425,53066320
2020,부산광역시,해운대구,일반용,76331193,71906088,61721937,58823992,61568236,71050819
2020,부산광역시,해운대구,교육용,3006804,2878487,2223705,1807067,1703248,2260915
2020,부산광역시,해운대구,산업용,18302878,17998027,18370936,18184868,13659520,14136858
2020,부산광역시,해운대구,농사용,129079,118002,123172,121793,149910,173630
2020,부산광역시,해운대구,가로등,1697311,1696956,1558877,1472875,1429190,1335314
2020,부산광역시,해운대구,심 야,2198311,2125429,1635052,1329392,1507986,1680113
2020,부산광역시,사하구,주택용,38495506,38590397,36020643,36364332,33633118,33990784
2020,부산광역시,사하구,일반용,38392529,36988540,31382414,30457587,29287901,32975935
2020,부산광역시,사하구,교육용,3513884,3149547,2433155,2076016,1954278,2520821
2020,부산광역시,사하구,산업용,134822256,131454467,137821269,133419323,128906420,133572239
2020,부산광역시,사하구,농사용,270034,252886,239161,260138,314053,311597
2020,부산광역시,사하구,가로등,1153380,1127200,1049930,971405,901555,818872
2020,부산광역시,사하구,심 야,2311330,2266822,1805467,1473477,1023481,589881
2020,부산광역시,금정구,주택용,30065660,30240797,28124531,28742496,26437970,26701233
2020,부산광역시,금정구,일반용,35338016,34160154,29098452,28027481,27067302,30548837
2020,부산광역시,금정구,교육용,6898710,6589372,5291201,4730572,4143267,4882696
2020,부산광역시,금정구,산업용,22351970,21505163,21026191,19986688,18663520,19679669
2020,부산광역시,금정구,농사용,514278,475195,380533,314203,224470,235862
2020,부산광역시,금정구,가로등,1097347,1071519,1051396,1100782,1025528,979373
2020,부산광역시,금정구,심 야,2733135,2815589,2209984,1815451,1270672,877433
2020,부산광역시,강서구,주택용,16867429,17024384,16041647,16382731,15249880,15908618
2020,부산광역시,강서구,일반용,40060840,37890111,34671622,32264744,31956305,35719610
2020,부산광역시,강서구,교육용,768563,793644,495558,422868,362040,517264
2020,부산광역시,강서구,산업용,283242943,273237161,286436689,270858848,249934939,266070087
2020,부산광역시,강서구,농사용,7006332,6618972,5123885,4276305,3879821,3754404
2020,부산광역시,강서구,가로등,2673651,2640475,2457972,2345467,2151252,1898587
2020,부산광역시,강서구,심 야,3183662,3169339,2485139,2004485,1437518,981483
2020,부산광역시,연제구,주택용,26694900,27040187,25290871,25774597,23802348,24248028
2020,부산광역시,연제구,일반용,33372309,32344338,28221889,26379142,26218122,30506561
2020,부산광역시,연제구,교육용,1304844,1326307,905544,796280,692132,1040611
2020,부산광역시,연제구,산업용,5305562,5048987,5086028,5074868,5041226,5350390
2020,부산광역시,연제구,농사용,12062,11618,11392,10758,11204,15435
2020,부산광역시,연제구,가로등,612698,585627,549207,495645,461485,419171
2020,부산광역시,연제구,심 야,1483566,1483745,1193009,930748,777929,795158
2020,부산광역시,수영구,주택용,23189357,23540343,22031201,22335555,20652960,21149593
2020,부산광역시,수영구,일반용,26927261,25814037,22087786,21136021,20467737,23161549
2020,부산광역시,수영구,교육용,587622,578520,433023,364656,331221,437449
2020,부산광역시,수영구,산업용,1286466,1261211,1146422,1178184,1127567,1171261
2020,부산광역시,수영구,농사용,46092,43496,37090,35340,30888,28537
2020,부산광역시,수영구,가로등,505250,495249,450981,411051,389686,351501
2020,부산광역시,수영구,심 야,1418754,1410728,1115643,863851,648272,488487
2020,부산광역시,사상구,주택용,25917404,25877828,24048525,24296263,22314133,22575697
2020,부산광역시,사상구,일반용,37642875,35849724,31103102,29624359,28322565,32229380
2020,부산광역시,사상구,교육용,3830482,3570057,2698192,2401387,2033121,2749002
2020,부산광역시,사상구,산업용,75027315,72231809,73231137,69195704,56232532,61378853
2020,부산광역시,사상구,농사용,139387,139038,136972,156151,161562,194821
2020,부산광역시,사상구,가로등,994744,988344,914591,837922,795501,720949
2020,부산광역시,사상구,심 야,2160411,2042829,1587956,1245948,917305,727968
2020,부산광역시,기장군,주택용,11354224,11644522,11121492,10962447,10342859,10442363
2020,부산광역시,기장군,일반용,30217449,30517392,23767572,22720293,22776231,25193352
2020,부산광역시,기장군,교육용,1046930,957382,741076,590160,597812,703599
2020,부산광역시,기장군,산업용,67608130,60800093,53361107,50259367,42759128,46339620
2020,부산광역시,기장군,농사용,3289021,3241471,2919829,2745018,2458306,2619794
2020,부산광역시,기장군,가로등,1673809,1600337,1508899,1517599,1401158,1336465
2020,부산광역시,기장군,심 야,3541800,3434002,2732324,2217569,1610634,1409118
2020,대구광역시,중구,주택용,10734800,10677824,9923614,9872389,9186210,10192365
2020,대구광역시,중구,일반용,47339918,43607746,33057610,31722288,33472130,40718835
2020,대구광역시,중구,교육용,1259517,1153907,762660,760219,678621,1031537
2020,대구광역시,중구,산업용,2969718,2715104,2289680,2058269,1813875,2106258
2020,대구광역시,중구,농사용,23553,24063,19631,18275,19132,20648
2020,대구광역시,중구,가로등,802449,751440,721744,678680,638594,605234
2020,대구광역시,중구,심 야,1244711,1198683,932922,751864,1343964,1953700
2020,대구광역시,동구,주택용,42602667,42996458,40213884,41026689,37884717,39090475
2020,대구광역시,동구,일반용,69134698,65315189,52616839,50215677,51596912,60341148
2020,대구광역시,동구,교육용,2593956,2272514,1463311,1440422,1419910,1842436
2020,대구광역시,동구,산업용,11514192,10797724,10014142,10101656,9715332,10511604
2020,대구광역시,동구,농사용,1517988,1481404,1217975,1089050,994863,1100649
2020,대구광역시,동구,가로등,2175437,2101911,1883593,1813268,1653280,1577850
2020,대구광역시,동구,심 야,5962091,5790074,4547654,3513066,2483992,1688332
2020,대구광역시,서구,주택용,20776057,20849258,19479221,19472671,17710002,18257188
2020,대구광역시,서구,일반용,28185373,27385420,22616610,20740042,19711430,22528985
2020,대구광역시,서구,교육용,1327363,1110295,778896,627657,578687,845842
2020,대구광역시,서구,산업용,32763068,29597981,29842019,29467123,26334974,29580238
2020,대구광역시,서구,농사용,21806,22430,16562,15780,15515,14872
2020,대구광역시,서구,가로등,802503,751284,698115,638749,590356,549765
2020,대구광역시,서구,심 야,2312981,2284849,1887988,1438644,923068,530035
2020,대구광역시,남구,주택용,18716609,18801600,17637018,17568457,16257899,16889696
2020,대구광역시,남구,일반용,28723585,27811790,23093615,21582279,21345511,24763637
2020,대구광역시,남구,교육용,2906073,2394083,1768048,1457751,1402975,1898457
2020,대구광역시,남구,산업용,1034219,994990,893612,831908,817235,878124
2020,대구광역시,남구,농사용,27939,28239,21804,19893,21526,22213
2020,대구광역시,남구,가로등,536014,501195,465805,428917,385143,364919
2020,대구광역시,남구,심 야,3568443,3542944,2822184,2024474,1229620,589710
2020,대구광역시,북구,주택용,52901623,52795370,50541032,50698355,47528971,49789379
2020,대구광역시,북구,일반용,72817701,68900565,55065693,52012539,52926843,62908943
2020,대구광역시,북구,교육용,8839380,8129529,5393284,5108022,4514065,6816391
2020,대구광역시,북구,산업용,66520675,63064585,61695160,59412890,47391492,52304190
2020,대구광역시,북구,농사용,763537,760175,686669,686179,681953,796324
2020,대구광역시,북구,가로등,1942581,1869824,1672513,1628834,1465413,1427938
2020,대구광역시,북구,심 야,3777198,3689569,2875449,2207935,1830043,2082245
2020,대구광역시,수성구,주택용,53800430,54361166,51434074,52203861,48937099,51159095
2020,대구광역시,수성구,일반용,68141867,64425869,49482694,46730002,47472955,56427382
